shRN_AID	GeneSymbol	EntrezID	Pool	shRNA_start	Mean_T14.T0	T14.T0_A	T14.T0_B	Reads_A_T0	Reads_A_T14	Reads_B_T0	Reads_B_T14
Alkbh3.843	Alkbh3	69113	LIB	843	0.095823083	0.006448957	0.185197208	7288	47	6161	1141
Alkbh3.901	Alkbh3	69113	LIB	901	0.499065664	0.927424983	0.070706346	11464	10632	13945	986
Alkbh3.1184	Alkbh3	69113	LIB	1184	0.705258812	0.517585507	0.892932117	235478	121880	223886	199915
Aof2.1869	Aof2	99982	LIB	1869	0.001459856	0.000206825	0.002712886	4835	1	6635	18
Aof2.1956	Aof2	99982	LIB	1956	0.088104342	0.008071553	0.168137131	9168	74	11901	2001
Aof2.2435	Aof2	99982	LIB	2435	0.195980329	0.234741368	0.15721929	22561	5296	27662	4349
Aof2.2857	Aof2	99982	LIB	2857	0	0	0	12275	0	13761	0
Ash1l.1031	Ash1l	192195	LIB	1031	0.31947451	0.313544189	0.32540483	40881	12818	35694	11615
Ash1l.1280	Ash1l	192195	LIB	1280	0.167683133	0.220091783	0.115274483	15907	3501	24446	2818
Ash1l.3810	Ash1l	192195	LIB	3810	NA	NA	NA	0	0	570	0
Ash1l.8132	Ash1l	192195	LIB	8132	0.401332534	0.200805702	0.601859367	16135	3240	13553	8157
Ash1l.9540	Ash1l	192195	LIB	9540	0.139184254	0.254215372	0.024153137	19334	4915	19956	482
Ash2l.586	Ash2l	23808	LIB	586	0.46112578	0.22570026	0.696551301	17315	3908	16296	11351
Ash2l.805	Ash2l	23808	LIB	805	0.573261557	0.767245885	0.37927723	15308	11745	19785	7504
Ash2l.948	Ash2l	23808	LIB	948	0.235730162	0.418269791	0.053190532	17154	7175	22222	1182
Ash2l.1135	Ash2l	23808	LIB	1135	0.035165394	0.002115526	0.068215262	10872	23	9514	649
Ash2l.2130	Ash2l	23808	LIB	2130	1.241609259	1.460589922	1.022628597	48820	71306	54356	55586
Asxl1.2020	Asxl1	228790	LIB	2020	0.059766771	0.009568839	0.109964703	8883	85	7366	810
Asxl1.3548	Asxl1	228790	LIB	3548	0.10962211	0.118078719	0.101165501	1499	177	4290	434
Asxl1.3785	Asxl1	228790	LIB	3785	0.418395785	0.701615799	0.135175771	13925	9770	13967	1888
Asxl1.4792	Asxl1	228790	LIB	4792	0.292975143	0.202313712	0.383636573	14695	2973	17368	6663
Asxl1.5221	Asxl1	228790	LIB	5221	NA	NA	NA	207	21	1015	413
Asxl1.6315	Asxl1	228790	LIB	6315	0.42809245	0.550629344	0.305555556	5323	2931	4104	1254
Asxl2.11	Asxl2	75302	LIB	11	0.069299389	0.09512504	0.043473739	12636	1202	19230	836
Asxl2.4563	Asxl2	75302	LIB	4563	1.831446558	1.40504451	2.257848606	6740	9470	6275	14168
Asxl2.6593	Asxl2	75302	LIB	6593	0.590189219	1.1171875	0.063190938	7040	7865	7327	463
Asxl2.7130	Asxl2	75302	LIB	7130	0.366813082	0.684577114	0.049049049	1005	688	1998	98
Asxl2.7253	Asxl2	75302	LIB	7253	0.117667517	0	0.235335034	2848	0	4313	1015
Asxl3.6101	Asxl3	211961	LIB	6101	0.375913898	0.327116212	0.424711584	27880	9120	23317	9903
Asxl3.6824	Asxl3	211961	LIB	6824	NA	NA	NA	0	0	0	0
Asxl3.8947	Asxl3	211961	LIB	8947	0.296002749	0.122132318	0.469873181	10505	1283	17111	8040
Asxl3.10021	Asxl3	211961	LIB	10021	0.026435101	0.00690583	0.045964372	11150	77	9094	418
Asxl3.11070	Asxl3	211961	LIB	11070	0.049530555	0.063099738	0.035961372	6878	434	13876	499
Asxl3.11073	Asxl3	211961	LIB	11073	0.027907605	0.003065917	0.052749293	19570	60	23697	1250
Atm.137	Atm	11920	LIB	137	6.47165e-05	0.000129433	0	7726	1	7961	0
Atm.4098	Atm	11920	LIB	4098	2.922281386	4.477807971	1.366754801	17664	79096	14372	19643
Atm.4998	Atm	11920	LIB	4998	0	0	0	5448	0	8348	0
Atm.5616	Atm	11920	LIB	5616	0.443498086	0.657270086	0.229726085	26499	17417	25957	5963
Atm.7782	Atm	11920	LIB	7782	0.260352231	0.308840206	0.211864257	121694	37584	112860	23911
Atm.9396	Atm	11920	LIB	9396	0.60032482	0.359381765	0.841267876	23098	8301	16153	13589
Atr.1239	Atr	245000	LIB	1239	0.005067342	0	0.010134685	7318	0	7499	76
Atr.3160	Atr	245000	LIB	3160	0	0	0	4630	0	2454	0
Atr.4762	Atr	245000	LIB	4762	0.149038652	0.070833921	0.227243383	7087	502	6196	1408
Atr.6186	Atr	245000	LIB	6186	0.128457676	0.106936416	0.149978936	14186	1517	14242	2136
Atr.7888	Atr	245000	LIB	7888	0.147861249	0.264325323	0.031397174	2705	715	1274	40
Atrx.2490	Atrx	22589	LIB	2490	0.396582444	0.600036694	0.193128195	21802	13082	20344	3929
Atrx.5490	Atrx	22589	LIB	5490	0.356515297	0.533129237	0.179901356	9146	4876	8110	1459
Atrx.6144	Atrx	22589	LIB	6144	4.974521294	2.266989851	7.682052736	22072	50037	17635	135473
Atrx.7173	Atrx	22589	LIB	7173	0.05387472	0.096820809	0.01092863	20760	2010	32941	360
Atrx.7377	Atrx	22589	LIB	7377	0.837321391	1.529071015	0.145571768	4661	7127	5894	858
Aurkb.520	Aurkb	20877	LIB	520	0.008388288	0.015122511	0.001654064	10448	158	8464	14
Aurkb.631	Aurkb	20877	LIB	631	0.824053234	1.06458435	0.583522118	12294	13088	16774	9788
Aurkb.917	Aurkb	20877	LIB	917	0.024491203	0.008743956	0.04023845	9721	85	7381	297
Aurkb.928	Aurkb	20877	LIB	928	0.010416667	0	0.020833333	3823	0	3360	70
Aurkb.1620	Aurkb	20877	LIB	1620	0	0	0	2783	0	1689	0
Aurkb.1803	Aurkb	20877	LIB	1803	0.125188349	0.175752051	0.074624647	5485	964	6727	502
Baz1a.2095	Baz1a	217578	LIB	2095	0.507940486	0.356679709	0.659201262	17890	6381	16476	10861
Baz1a.2451	Baz1a	217578	LIB	2451	2.159026811	3.284734348	1.033319275	8018	26337	7113	7350
Baz1a.4993	Baz1a	217578	LIB	4993	0.64349492	0.507178218	0.779811623	4040	2049	5627	4388
Baz1a.5946	Baz1a	217578	LIB	5946	0.080389068	0.05529467	0.105483466	8518	471	7167	756
Baz1b.801	Baz1b	22385	LIB	801	0.000639494	0.000888362	0.000390625	3377	3	2560	1
Baz1b.3683	Baz1b	22385	LIB	3683	0.360095959	0.069445862	0.650746056	19598	1361	14007	9115
Baz1b.5646	Baz1b	22385	LIB	5646	0.016297649	0.018375115	0.014220183	7619	140	6540	93
Baz1b.6371	Baz1b	22385	LIB	6371	0.14306644	0	0.286132879	20503	0	14675	4199
Bmi1.698	Bmi1	12151	LIB	698	0.092709454	0.069620729	0.11579818	13315	927	12090	1400
Bmi1.895	Bmi1	12151	LIB	895	0.035594283	0.071188567	0	22321	1589	22783	0
Bmi1.1440	Bmi1	12151	LIB	1440	NA	NA	NA	148	0	1337	0
Bmi1.1746	Bmi1	12151	LIB	1746	0.118689343	0.122838849	0.114539838	57319	7041	58914	6748
Bmi1.2404	Bmi1	12151	LIB	2404	0	0	0	2012	0	5750	0
Bmi1.2561	Bmi1	12151	LIB	2561	0.454904159	0.631757214	0.278051103	7381	4663	6301	1752
Bop1.778	Bop1	12181	LIB	778	0.672354814	0.445185419	0.899524209	22193	9880	25011	22498
Bop1.2228	Bop1	12181	LIB	2228	0.142000285	0.127547666	0.156452904	9126	1164	11243	1759
Bop1.2403	Bop1	12181	LIB	2403	0	0	0	1267	0	2340	0
Bptf.1622	Bptf	207165	LIB	1622	0.077104921	0.08259276	0.071617083	19917	1645	16672	1194
Bptf.3234	Bptf	207165	LIB	3234	0.057370498	0.065993919	0.048747077	29927	1975	29930	1459
Bptf.7211	Bptf	207165	LIB	7211	0.024626408	0.021392709	0.027860107	9162	196	8435	235
Bptf.8224	Bptf	207165	LIB	8224	0.410946348	0.179452295	0.6424404	22786	4089	25881	16627
Braf.3750	Braf	109880	NC	3750	0.412381245	0.44332883	0.38143366	251680	111577	252403	96275
Braf.3826	Braf	109880	NC	3826	0.129826198	0.1681838	0.091468596	36692	6171	38833	3552
Braf.5053	Braf	109880	NC	5053	2.34833908	2.720656406	1.976021753	21572	58690	24272	47962
Brd1.286	Brd1	223770	LIB	286	0.094299073	0.000374953	0.188223194	2667	1	3889	732
Brd1.287	Brd1	223770	LIB	287	0.480557434	0.680387664	0.280727205	47567	32364	42739	11998
Brd1.2096	Brd1	223770	LIB	2096	0.041243445	0.031141199	0.051345691	15510	483	12893	662
Brd1.4229	Brd1	223770	LIB	4229	0.013231982	0.026463964	0	1776	47	2985	0
Brd2.813	Brd2	14312	LIB	813	22.77961486	42.66701779	2.892211933	8544	364547	19761	57153
Brd2.1714	Brd2	14312	LIB	1714	0.144143286	0.249835634	0.038450937	7605	1900	7256	279
Brd2.3011	Brd2	14312	LIB	3011	0.028355134	0.029962547	0.02674772	1335	40	1645	44
Brd2.3396	Brd2	14312	LIB	3396	NA	NA	NA	447	431	1478	90
Brd3.187	Brd3	67382	LIB	187	3.10945e-05	0	6.21891e-05	20291	0	16080	1
Brd3.298	Brd3	67382	LIB	298	0.056505575	0.058248337	0.054762814	45100	2627	41908	2295
Brd3.411	Brd3	67382	LIB	411	0.756328621	1.503010235	0.009647007	3322	4993	9122	88
Brd3.4162	Brd3	67382	LIB	4162	0.633054482	0.738127854	0.52798111	4380	3233	4235	2236
Brd4.523	Brd4	57261	LIB	523	0.010380898	0.004175644	0.016586151	59871	250	62100	1030
Brd4.552	Brd4	57261	LIB	552	0	0	0	4366	0	4085	0
Brd4.632	Brd4	57261	LIB	632	0	0	0	6519	0	8625	0
Brd4.1448	Brd4	57261	LIB	1448	0.135273343	0.118396988	0.152149699	18590	2201	13467	2049
Brd4.2097	Brd4	57261	LIB	2097	0	0	0	15250	0	12300	0
Carm1.892	Carm1	59035	LIB	892	0.079435576	0.000380084	0.158491069	7893	3	7502	1189
Carm1.1222	Carm1	59035	LIB	1222	0.075280112	0	0.150560224	6127	0	5712	860
Carm1.1454	Carm1	59035	LIB	1454	0	0	0	6356	0	4529	0
Carm1.1614	Carm1	59035	LIB	1614	0.243856333	0	0.487712665	2578	0	2116	1032
Carm1.1717	Carm1	59035	LIB	1717	0.001731885	0.002492331	0.00097144	10432	26	5147	5
Cbx1.1004	Cbx1	12412	LIB	1004	0.057581903	0.083058046	0.03210576	2119	176	2118	68
Cbx1.1053	Cbx1	12412	LIB	1053	1.091733912	0.589759684	1.593708139	55760	32885	49270	78522
Cbx1.1099	Cbx1	12412	LIB	1099	0.57419689	0.919432666	0.228961114	6839	6288	10338	2367
Cbx1.1103	Cbx1	12412	LIB	1103	0.458716872	0.142857143	0.774576601	16450	2350	10274	7958
Cbx1.1210	Cbx1	12412	LIB	1210	0.245937138	0.37322759	0.118646686	4161	1553	6473	768
Cbx2.2033	Cbx2	12416	LIB	2033	0.134848542	0.001576873	0.268120212	3805	6	3394	910
Cbx2.3537	Cbx2	12416	LIB	3537	0	0	0	1236	0	1822	0
Cbx2.3545	Cbx2	12416	LIB	3545	0.710820484	1.275496689	0.146144279	1510	1926	1608	235
Cbx2.3620	Cbx2	12416	LIB	3620	0.134612189	0.008686441	0.260537937	4720	41	4982	1298
Cbx2.3706	Cbx2	12416	LIB	3706	1.147329284	1.49221144	0.802447127	15664	23374	12341	9903
Cbx3.882	Cbx3	12417	LIB	882	0	0	0	3121	0	3119	0
Cbx3.1206	Cbx3	12417	LIB	1206	0.118944773	0.131788129	0.106101417	13461	1774	17078	1812
Cbx3.1339	Cbx3	12417	LIB	1339	0.142134201	0.070435009	0.213833393	19195	1352	22424	4795
Cbx3.1719	Cbx3	12417	LIB	1719	0	0	0	4977	0	5860	0
Cbx3.1735	Cbx3	12417	LIB	1735	0.115344034	0.011380552	0.219307515	20825	237	16087	3528
Cbx4.1794	Cbx4	12418	LIB	1794	1.364806716	0.371060327	2.358553106	9233	3426	6939	16366
Cbx4.1844	Cbx4	12418	LIB	1844	0.700301215	1.223163842	0.177438588	2832	3464	4193	744
Cbx4.2573	Cbx4	12418	LIB	2573	0.817611719	0.890839629	0.744383809	69888	62259	67617	50333
Cbx4.4403	Cbx4	12418	LIB	4403	0.215720626	0	0.431441252	3806	0	4281	1847
Cbx4.5120	Cbx4	12418	LIB	5120	0.497429027	0.398906637	0.595951417	11707	4670	9880	5888
Cbx5.1309	Cbx5	12419	LIB	1309	0.986138423	0.975527017	0.996749828	20635	20130	21845	21774
Cbx5.4366	Cbx5	12419	LIB	4366	0	0	0	907	0	563	0
Cbx5.4409	Cbx5	12419	LIB	4409	0.18203172	0.15420805	0.20985539	9565	1475	14591	3062
Cbx5.4508	Cbx5	12419	LIB	4508	0.693812292	0.764903255	0.622721329	26823	20517	26002	16192
Cbx5.5707	Cbx5	12419	LIB	5707	0.232529345	0.127116437	0.337942253	3839	488	2459	831
Cbx5.8586	Cbx5	12419	LIB	8586	0.176272377	0.350797267	0.001747488	2634	924	4578	8
Cbx6.1535	Cbx6	494448	LIB	1535	1.317433547	0.026128266	2.608738828	1684	44	2014	5254
Cbx6.3332	Cbx6	494448	LIB	3332	0.628106622	1.114166972	0.142046271	32724	36460	41754	5931
Cbx6.3473	Cbx6	494448	LIB	3473	1.362208923	0.193768257	2.530649588	1027	199	1093	2766
Cbx6.3969	Cbx6	494448	LIB	3969	0.591043966	0.80244028	0.379647652	25243	20256	20037	7607
Cbx7.745	Cbx7	52609	LIB	745	0.218502726	0.203358299	0.233647153	41390	8417	44824	10473
Cbx7.1633	Cbx7	52609	LIB	1633	0.040584859	0	0.081169719	9110	0	7318	594
Cbx7.1634	Cbx7	52609	LIB	1634	0.075718892	0.000117758	0.151320026	8492	1	7765	1175
Cbx7.1639	Cbx7	52609	LIB	1639	0.100164464	0.124590164	0.075738763	3050	380	4027	305
Cbx7.2006	Cbx7	52609	LIB	2006	0.080469517	0	0.160939034	12881	0	11203	1803
Cbx7.2504	Cbx7	52609	LIB	2504	0.038731085	0.004728435	0.072733736	15650	74	14065	1023
Cbx8.136	Cbx8	30951	LIB	136	0.110253195	0.038949338	0.181557052	14429	562	10096	1833
Cbx8.1120	Cbx8	30951	LIB	1120	0.226325463	0.218088273	0.234562653	23518	5129	18818	4414
Cbx8.1342	Cbx8	30951	LIB	1342	1.082538396	1.289585162	0.87549163	91120	117507	88227	77242
Chaf1a.166	Chaf1a	27221	LIB	166	0	0	0	7650	0	8656	0
Chaf1a.1039	Chaf1a	27221	LIB	1039	0	0	0	1166	0	1879	0
Chaf1a.2122	Chaf1a	27221	LIB	2122	0.397909545	0.698496344	0.097322746	36245	25317	42693	4155
Chaf1b.367	Chaf1b	110749	LIB	367	0	0	0	1271	0	3122	0
Chaf1b.566	Chaf1b	110749	LIB	566	0.303408945	0.482990787	0.123827104	5644	2726	6501	805
Chaf1b.692	Chaf1b	110749	LIB	692	0.287092522	0.574185043	0	8344	4791	14305	0
Chaf1b.901	Chaf1b	110749	LIB	901	0.20895781	0.141891892	0.276023728	11840	1680	10452	2885
Chaf1b.1223	Chaf1b	110749	LIB	1223	0.040480317	0	0.080960634	3527	0	4039	327
Chd1.746	Chd1	12648	LIB	746	0.109569072	0.112458184	0.10667996	42149	4740	47141	5029
Chd1.1103	Chd1	12648	LIB	1103	0.03061677	0.03155467	0.029678869	9539	301	10681	317
Chd1.2443	Chd1	12648	LIB	2443	0.119970268	0.110483782	0.129456754	9033	998	8891	1151
Chd1.2959	Chd1	12648	LIB	2959	0.204016851	0.209087277	0.198946425	17519	3663	17844	3550
Chd1.4558	Chd1	12648	LIB	4558	0.579893278	1.122087605	0.037698952	16095	18060	18409	694
Chd1l.2305	Chd1l	68058	LIB	2305	0.171659277	0.161353286	0.181965268	13833	2232	9271	1687
Chd1l.2598	Chd1l	68058	LIB	2598	0.064918568	0.001997004	0.127840131	2003	4	3653	467
Chd1l.2804	Chd1l	68058	LIB	2804	0.320682295	0.225751283	0.415613308	8186	1848	9889	4110
Chd2.926	Chd2	244059	LIB	926	0.138050187	0.180178767	0.095921607	12754	2298	14491	1390
Chd2.3700	Chd2	244059	LIB	3700	0.397415785	0.434250439	0.360581131	18791	8160	17139	6180
Chd2.3984	Chd2	244059	LIB	3984	0.134215951	0.080257186	0.188174716	39660	3183	28160	5299
Chd2.8087	Chd2	244059	LIB	8087	0.189600975	0.263537572	0.115664379	21625	5699	19522	2258
Chd2.8913	Chd2	244059	LIB	8913	0.073920542	0.106108526	0.041732558	44266	4697	48691	2032
Chd3.482	Chd3	216848	LIB	482	0.08107178	0.014856739	0.147286822	5654	84	2967	437
Chd3.3249	Chd3	216848	LIB	3249	0.071321859	0.011487304	0.131156413	18194	209	16629	2181
Chd3.4011	Chd3	216848	LIB	4011	0.289503582	0.42626498	0.152742183	12016	5122	15608	2384
Chd3.6496	Chd3	216848	LIB	6496	0.044090494	0.030532487	0.057648502	8188	250	11414	658
Chd3.7148	Chd3	216848	LIB	7148	2.340233512	1.930658742	2.749808282	6057	11694	5216	14343
Chd3.7149	Chd3	216848	LIB	7149	0.156093321	0.116246872	0.19593977	18779	2183	20787	4073
Chd4.2060	Chd4	107932	LIB	2060	0.000158747	0	0.000317494	3613	0	9449	3
Chd4.3326	Chd4	107932	LIB	3326	NA	NA	NA	0	0	0	0
Chd4.3423	Chd4	107932	LIB	3423	0.039003519	0.018129718	0.059877321	18147	329	24617	1474
Chd4.3772	Chd4	107932	LIB	3772	0.446854315	0.107456979	0.786251651	18305	1967	17413	13691
Chd5.2301	Chd5	269610	LIB	2301	0.890171552	1.716215543	0.064127562	20061	34429	23079	1480
Chd5.2900	Chd5	269610	LIB	2900	2.179569236	1.422986617	2.936151855	8518	12121	8113	23821
Chd5.5471	Chd5	269610	LIB	5471	0.031951327	0.008029979	0.055872675	16812	135	14891	832
Chd5.6392	Chd5	269610	LIB	6392	1.431979693	1.532967033	1.330992354	27664	42408	24064	32029
Chd6.311	Chd6	71389	LIB	311	0.034464804	0.005788154	0.063141455	5183	30	4482	283
Chd6.4698	Chd6	71389	LIB	4698	0.079293047	0.058312236	0.100273857	11850	691	9494	952
Chd6.4988	Chd6	71389	LIB	4988	0.706143751	0.96534451	0.446942993	9782	9443	8227	3677
Chd6.9610	Chd6	71389	LIB	9610	0.621464656	0.915195867	0.327733445	4646	4252	7143	2341
Chd7.1269	Chd7	320790	LIB	1269	4.781464099	6.785229842	2.777698356	5308	36016	5596	15544
Chd7.1502	Chd7	320790	LIB	1502	0.778617907	1.132855191	0.424380624	17568	19902	24339	10329
Chd7.5857	Chd7	320790	LIB	5857	1.176684021	1.753802163	0.599565878	24131	42321	23035	13811
Chd7.6498	Chd7	320790	LIB	6498	0.554422725	0.923791103	0.185054348	2585	2388	3680	681
Chd7.7229	Chd7	320790	LIB	7229	1.1593543	0.786077021	1.532631579	4726	3715	3325	5096
Chd8.434	Chd8	67772	LIB	434	0.240881821	0.481763642	0	10501	5059	13580	0
Chd8.3265	Chd8	67772	LIB	3265	2.777624937	3.217093529	2.338156344	14017	45094	15274	35713
Chd8.4169	Chd8	67772	LIB	4169	2.352884012	2.797262325	1.908505699	46755	130786	47380	90425
Chd8.5352	Chd8	67772	LIB	5352	0.046980193	0	0.093960386	15081	0	10249	963
Chd8.6946	Chd8	67772	LIB	6946	0.082319013	0.141659648	0.022978377	24933	3532	29506	678
Chd9.1402	Chd9	109151	LIB	1402	2.015703082	1.209699299	2.821706865	8846	10701	5390	15209
Chd9.3919	Chd9	109151	LIB	3919	0.232392142	0.178955954	0.285828331	30650	5485	31316	8951
Chd9.9352	Chd9	109151	LIB	9352	0.063600987	0.001541511	0.125660464	4541	7	4353	547
Chd9.10928	Chd9	109151	LIB	10928	0.281642373	0.071780078	0.491504669	11786	846	6533	3211
Clock.693	Clock	12753	LIB	693	4.165656967	6.332554466	1.998759467	30386	192421	30632	61226
Clock.1387	Clock	12753	LIB	1387	0.154177662	0.004555809	0.303799515	3512	16	6185	1879
Clock.4461	Clock	12753	LIB	4461	2.081932577	1.782110872	2.381754283	8821	15720	13658	32530
Clock.4611	Clock	12753	LIB	4611	0.186897319	0.248041429	0.125753209	7531	1868	7634	960
Clock.5863	Clock	12753	LIB	5863	0	0	0	8924	0	6154	0
Crebbp.704	Crebbp	12914	LIB	704	11.9485048	19.00330745	4.893702157	6954	132149	5748	28129
Crebbp.2064	Crebbp	12914	LIB	2064	1.188115541	1.435698153	0.940532929	15054	21613	9232	8683
Crebbp.2118	Crebbp	12914	LIB	2118	0.053391885	0.024676711	0.082107059	16858	416	14067	1155
Crebbp.3582	Crebbp	12914	LIB	3582	3.655607969	4.58780241	2.723413529	10871	49874	11472	31243
Crebbp.4463	Crebbp	12914	LIB	4463	16.37310333	22.75705636	9.989150297	10735	244297	8756	87465
Ctsl.940	Ctsl	13039	LIB	940	0.566559532	0.631030822	0.502088243	64046	40415	67042	33661
Ctsl.1445	Ctsl	13039	LIB	1445	1.390909314	2.649395911	0.132422717	4304	11403	6955	921
Ctsl.1941	Ctsl	13039	LIB	1941	0.066051589	0.007621849	0.124481328	14957	114	9881	1230
Ctsl.1942	Ctsl	13039	LIB	1942	0.096645722	0.171270718	0.022020725	3801	651	5404	119
Ctsl.1947	Ctsl	13039	LIB	1947	0.615592343	0.666345784	0.564838903	83104	55376	79952	45160
Cxxc1.68	Cxxc1	74322	LIB	68	0.47853168	0.342590096	0.614473263	22254	7624	21861	13433
Cxxc1.359	Cxxc1	74322	LIB	359	0.024227576	0	0.048455152	16364	0	14694	712
Cxxc1.1889	Cxxc1	74322	LIB	1889	0.063713733	0.00804721	0.119380256	13048	105	15103	1803
Cxxc1.2034	Cxxc1	74322	LIB	2034	0.345104593	0.226497717	0.463711468	10733	2431	11257	5220
Cxxc1.2133	Cxxc1	74322	LIB	2133	0.198889771	0.198522247	0.199257294	24632	4890	18850	3756
Dmap1.439	Dmap1	66233	LIB	439	0.703875338	0.77262223	0.635128445	22069	17051	18179	11546
Dmap1.518	Dmap1	66233	LIB	518	NA	NA	NA	270	6	835	0
Dmap1.1354	Dmap1	66233	LIB	1354	0.14763293	0.098111837	0.197154022	27540	2702	27126	5348
Dmap1.1355	Dmap1	66233	LIB	1355	0.42757955	0.089182969	0.765976131	38236	3410	25053	19190
Dmap1.1487	Dmap1	66233	LIB	1487	1.398029255	2.142666181	0.65339233	16458	35264	12204	7974
Dnmt1.437	Dnmt1	13433	LIB	437	0.216593143	0.00036049	0.432825795	2774	1	4466	1933
Dnmt1.828	Dnmt1	13433	LIB	828	0.031108522	0	0.062217045	37302	0	37771	2350
Dnmt1.1137	Dnmt1	13433	LIB	1137	0	0	0	1982	0	900	0
Dnmt1.4462	Dnmt1	13433	LIB	4462	0.107595678	0.084457173	0.130734182	19205	1622	19314	2525
Dnmt1.4848	Dnmt1	13433	LIB	4848	2.73965767	4.554970263	0.924345077	11770	53612	13284	12279
Dnmt3a.16	Dnmt3a	13435	LIB	16	1.725217186	1.842114421	1.608319951	28736	52935	39231	63096
Dnmt3a.1669	Dnmt3a	13435	LIB	1669	0.151960261	0.274109644	0.029810877	7497	2055	9359	279
Dnmt3a.2338	Dnmt3a	13435	LIB	2338	0.464228303	0.546660024	0.381796582	26093	14264	21886	8356
Dnmt3a.4173	Dnmt3a	13435	LIB	4173	2.839755061	1.630561738	4.048948383	90754	147980	91811	371738
Dnmt3b.275	Dnmt3b	13436	LIB	275	0.111149425	0	0.222298851	2759	0	4350	967
Dnmt3b.579	Dnmt3b	13436	LIB	579	0.190916889	0.103235294	0.278598485	23800	2457	15840	4413
Dnmt3b.958	Dnmt3b	13436	LIB	958	0.051940249	0.10105972	0.002820777	18118	1831	14535	41
Dnmt3b.2218	Dnmt3b	13436	LIB	2218	0	0	0	4817	0	5321	0
Dnmt3l.306	Dnmt3l	54427	LIB	306	0.009228421	0	0.018456842	1360	0	7206	133
Dnmt3l.760	Dnmt3l	54427	LIB	760	0.639860874	0.834630621	0.445091128	107789	89964	109791	48867
Dnmt3l.1049	Dnmt3l	54427	LIB	1049	0.275136367	0.291147084	0.25912565	12911	3759	16355	4238
Dnmt3l.1333	Dnmt3l	54427	LIB	1333	0.729534649	0.550112191	0.908957107	10696	5884	9512	8646
Dnmt3l.1350	Dnmt3l	54427	LIB	1350	0.869186931	1.148524754	0.589849108	11998	13780	13122	7740
Dot1l.602	Dot1l	208266	LIB	602	0.052820647	0.104150504	0.001490789	15468	1611	18782	28
Dot1l.941	Dot1l	208266	LIB	941	NA	NA	NA	308	0	1	0
Dot1l.3626	Dot1l	208266	LIB	3626	0	0	0	1819	0	2461	0
Dub2a.769	Dub2a	384701	LIB	769	1.538125565	2.261141129	0.815110001	20173	45614	27227	22193
Dub2a.1334	Dub2a	384701	LIB	1334	0.311123833	0.274834437	0.347413229	3322	913	3054	1061
Dub2a.1391	Dub2a	384701	LIB	1391	0	0	0	7400	0	6144	0
Dub2a.1397	Dub2a	384701	LIB	1397	0.92660009	0.741578683	1.111621497	1989	1475	2177	2420
Dub2a.1444	Dub2a	384701	LIB	1444	0.129914681	0.128666667	0.131162695	6000	772	9736	1277
Dub2a.1445	Dub2a	384701	LIB	1445	0.313809229	0.308336591	0.319281867	17909	5522	13925	4446
Edf1.486	Edf1	59022	LIB	486	0.584392451	0.593347689	0.575437213	21827	12951	27904	16057
Edf1.628	Edf1	59022	LIB	628	0.631092498	1.048248699	0.213936297	14218	14904	9199	1968
Edf1.631	Edf1	59022	LIB	631	0.211734062	0.293841091	0.129627033	17016	5000	14264	1849
