16	B4	Pool 8 VEH #6.2-Pilot
17	B5	Pool 8 Vem #A.1-Pilot
18	B6	Pool 8 Vem #A.2-Pilot
19	B7	Pool 8 Vem #B.1-Pilot
20	B8	Pool 8 Vem #B.2-Pilot
21	B9	Pool 8 Vem #C.1-Pilot
22	B10	Pool 8 Vem #C.2-Pilot
70	G1	Pool #5 Flask 1.1 VEH
71	G2	Pool #5 Flask 1.2 VEH
72	G3	Pool #5 Flask 2.1 VEH
73	G4	Pool #5 Flask 2.2 VEH
74	G5	Pool #5 Flask 3.1 VEH
75	G6	Pool #5 Flask 3.2 VEH
76	G7	Pool #6 Flask 1.1 VEH, NEW
77	G8	Pool #6 Flask 1.2 VEH, NEW
78	G9	Pool #6 Flask 2.1 VEH, NEW
79	G10	Pool #6 Flask 2.2 VEH, NEW
80	G11	Pool #6 Flask 3.1 VEH, NEW
81	G12	Pool #6 Flask 3.2 VEH, NEW
82	H1	Pool #5 Flask 1.1 VEM
83	H2	Pool #5 Flask 1.2 VEM
84	H3	Pool #5 Flask 2.1 VEM
85	H4	Pool #5 Flask 2.2 VEM
86	H5	Pool #5 Flask 3.1 VEM
87	H6	Pool #5 Flask 3.2 VEM
88	H7	Pool #6 Flask 1.1 VEM
89	H8	Pool #6 Flask 1.2 VEM
90	H9	Pool #6 Flask 2.1 VEM
91	H10	Pool #6 Flask 2.2 VEM
92	H11	Pool #6 Flask 3.1 VEM
93	H12	Pool #6 Flask 3.2 VEM
